date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:16	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:16%20GMT	https://www.moveisgottems.com.br/robots.txt		(from )
13:15:17	60791/60791	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:16%20GMT	https://www.moveisgottems.com.br/	C:/SiteGottems2/Site2/www.moveisgottems.com.br/index.html	(from )
13:15:17	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:17%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/share.jpg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/share.jpg	(from https://www.moveisgottems.com.br/)
13:15:17	52416/52416	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:17%20GMT	https://www.moveisgottems.com.br/ops/404	C:/SiteGottems2/Site2/www.moveisgottems.com.br/ops/404.html	(from https://www.moveisgottems.com.br/)
13:15:17	1488/1488	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Mar%202024%2013:22:07%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/favicon.png	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/favicon.png	(from https://www.moveisgottems.com.br/)
13:15:18	12326/12326	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2020:52:12%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/css/ellox.css	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/css/ellox.css	(from https://www.moveisgottems.com.br/)
13:15:18	440235/440235	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2020:52:14%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/css/style.css	(from https://www.moveisgottems.com.br/)
13:15:18	12589/12589	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Mar%202024%2012:49:01%20GMT	https://www.moveisgottems.com.br/shared/styles/ellox.css	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/styles/ellox.css	(from https://www.moveisgottems.com.br/)
13:15:18	1416/1416	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Mar%202024%2012:49:01%20GMT	https://www.moveisgottems.com.br/shared/styles/jssocials.css	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/styles/jssocials.css	(from https://www.moveisgottems.com.br/)
13:15:19	3745/3745	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Mar%202024%2012:49:00%20GMT	https://www.moveisgottems.com.br/shared/styles/jssocials-theme-flat.css	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/styles/jssocials-theme-flat.css	(from https://www.moveisgottems.com.br/)
13:15:19	9284/9284	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Mar%202024%2012:49:01%20GMT	https://www.moveisgottems.com.br/shared/styles/jssocials-theme-minima.css	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/styles/jssocials-theme-minima.css	(from https://www.moveisgottems.com.br/)
13:15:19	1008/1008	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2012:48:58%20GMT	https://www.moveisgottems.com.br/shared/images/ajax-loader.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/images/ajax-loader.svg	(from https://www.moveisgottems.com.br/)
13:15:19	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:19%20GMT	https://www.moveisgottems.com.br/flash	C:/SiteGottems2/Site2/www.moveisgottems.com.br/flash	(from https://www.moveisgottems.com.br/)
13:15:19	5067/5067	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2012:56:36%20GMT	https://www.moveisgottems.com.br/storage/images/2024/02/principal-marca-1708519003.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/2024/02/principal-marca-1708519003.svg	(from https://www.moveisgottems.com.br/)
13:15:20	57822/57822	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:20%20GMT	https://www.moveisgottems.com.br/empresa	C:/SiteGottems2/Site2/www.moveisgottems.com.br/empresa.html	(from https://www.moveisgottems.com.br/)
13:15:20	62157/62157	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:20%20GMT	https://www.moveisgottems.com.br/inspiracoes	C:/SiteGottems2/Site2/www.moveisgottems.com.br/inspiracoes.html	(from https://www.moveisgottems.com.br/)
13:15:21	77805/77805	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:21%20GMT	https://www.moveisgottems.com.br/produtos	C:/SiteGottems2/Site2/www.moveisgottems.com.br/produtos.html	(from https://www.moveisgottems.com.br/)
13:15:21	70886/70886	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:21%20GMT	https://www.moveisgottems.com.br/colecao/novidades	C:/SiteGottems2/Site2/www.moveisgottems.com.br/colecao/novidades.html	(from https://www.moveisgottems.com.br/)
13:15:21	53560/53560	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:21%20GMT	https://www.moveisgottems.com.br/conta	C:/SiteGottems2/Site2/www.moveisgottems.com.br/conta.html	(from https://www.moveisgottems.com.br/)
13:15:21	891/891	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2013:21:57%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/icon-user.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/icon-user.svg	(from https://www.moveisgottems.com.br/)
13:15:22	724/724	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2013:21:58%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/icon-search.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/icon-search.svg	(from https://www.moveisgottems.com.br/)
13:15:22	238/238	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2013:21:57%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/icon-close.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/icon-close.svg	(from https://www.moveisgottems.com.br/)
13:15:23	77805/77805	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:22%20GMT	https://www.moveisgottems.com.br/produtos?filtro=lancamentos	C:/SiteGottems2/Site2/www.moveisgottems.com.br/produtos2c74.html	(from https://www.moveisgottems.com.br/)
13:15:23	11818/11818	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:33:30%20GMT	https://www.moveisgottems.com.br/storage/images/cache/linkconteudo-lancamento-link-1702486779-452-47a4fc33.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/linkconteudo-lancamento-link-1702486779-452-47a4fc33.webp	(from https://www.moveisgottems.com.br/)
13:15:24	26582/26582	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:33:31%20GMT	https://www.moveisgottems.com.br/storage/images/cache/linkconteudo-produto-link-1702486782-452-f960f808.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/linkconteudo-produto-link-1702486782-452-f960f808.webp	(from https://www.moveisgottems.com.br/)
13:15:24	36226/36226	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:33:32%20GMT	https://www.moveisgottems.com.br/storage/images/cache/linkconteudo-inspiracao-link-1702486785-452-9dc89ad7.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/linkconteudo-inspiracao-link-1702486785-452-9dc89ad7.webp	(from https://www.moveisgottems.com.br/)
13:15:24	44010/44010	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:33:34%20GMT	https://www.moveisgottems.com.br/storage/images/cache/produto-linha-daniel-krothbanner-1709236103-1920-419d68ed.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/produto-linha-daniel-krothbanner-1709236103-1920-419d68ed.webp	(from https://www.moveisgottems.com.br/)
13:15:24	32638/32638	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:33:51%20GMT	https://www.moveisgottems.com.br/storage/images/cache/produto-linha-fabricio-roncabanner-1709236163-1920-a990b4da.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/produto-linha-fabricio-roncabanner-1709236163-1920-a990b4da.webp	(from https://www.moveisgottems.com.br/)
13:15:24	38582/38582	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:34:12%20GMT	https://www.moveisgottems.com.br/storage/images/cache/produto-linha-fernando-mottabanner-1709236047-1920-455e553b.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/produto-linha-fernando-mottabanner-1709236047-1920-455e553b.webp	(from https://www.moveisgottems.com.br/)
13:15:24	34408/34408	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2013:34:32%20GMT	https://www.moveisgottems.com.br/storage/images/cache/produto-linha-luia-mantellibanner-1709236132-1920-c9d24c32.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/produto-linha-luia-mantellibanner-1709236132-1920-c9d24c32.webp	(from https://www.moveisgottems.com.br/)
13:15:26	3835/3835	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2013:21:34%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/icon-instagram.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/icon-instagram.svg	(from https://www.moveisgottems.com.br/)
13:15:26	131761/131761	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Apr%202024%2020:29:39%20GMT	https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/435018180_1124364488880042_6978083685204808251_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_ohc=rKDPuME9YHwAb5BxvLq&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfA5owKCxzVm-wec0--F_OoMYq88G-AVjl0h1s5sdgYcNg&oe=6615EE41	C:/SiteGottems2/Site2/scontent-ord5-2.cdninstagram.com/v/t51.29350-15/435018180_1124364488880042_6978083685204808251_n01a6.jpg	(from https://www.moveisgottems.com.br/)
13:15:28	221863/221863	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Mar%202024%2014:15:12%20GMT	https://scontent-ord5-2.cdninstagram.com/v/t51.29350-15/434883000_788943542705068_9025307655747139892_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=18de74&_nc_ohc=k9ufu1Ai8MEAb65nDeR&_nc_ht=scontent-ord5-2.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfA4TMywv471IiruGf3UrphxRkLmWb5mSkWR79ksS7cdIQ&oe=6616118B	C:/SiteGottems2/Site2/scontent-ord5-2.cdninstagram.com/v/t51.29350-15/434883000_788943542705068_9025307655747139892_nb11c.jpg	(from https://www.moveisgottems.com.br/)
13:15:29	301617/301617	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2019:12:44%20GMT	https://scontent-ord5-1.cdninstagram.com/v/t51.29350-15/434430937_801970575314520_8192858025075010582_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=Ds2EXDzYYUwAb426DMV&_nc_ht=scontent-ord5-1.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfB6O0LyM3cgdmSXXNpW3_l9fgIqo6klhobbQg1iNQslAA&oe=6615E74A	C:/SiteGottems2/Site2/scontent-ord5-1.cdninstagram.com/v/t51.29350-15/434430937_801970575314520_8192858025075010582_n6aca.jpg	(from https://www.moveisgottems.com.br/)
13:15:29	1522/1522	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2013:13:10%20GMT	https://www.moveisgottems.com.br/storage/images/2023/12/principal-2-marca-1701800036.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/2023/12/principal-2-marca-1701800036.svg	(from https://www.moveisgottems.com.br/)
13:15:29	58135/58135	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2016:15:29%20GMT	https://www.moveisgottems.com.br/contato	C:/SiteGottems2/Site2/www.moveisgottems.com.br/contato.html	(from https://www.moveisgottems.com.br/)
13:15:30	152524/152524	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Mar%202024%2013:22:23%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/js/scripts.js	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/js/scripts.js	(from https://www.moveisgottems.com.br/)
13:15:31	7355/7355	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Mar%202024%2020:52:36%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/js/ellox.js?e=1712333716	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/js/ellox6abb.js	(from https://www.moveisgottems.com.br/)
13:15:31	3070404/3070404	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202024%2013:21:45%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/image-footer.jpg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/image-footer.jpg	(from https://www.moveisgottems.com.br/)
13:15:31	15248/15248	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Mar%202024%2012:49:08%20GMT	https://www.moveisgottems.com.br/shared/scripts/jquery.form.js	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/scripts/jquery.form.js	(from https://www.moveisgottems.com.br/)
13:15:31	23128/23128	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Mar%202024%2012:49:06%20GMT	https://www.moveisgottems.com.br/shared/scripts/jquery.mask.js	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/scripts/jquery.mask.js	(from https://www.moveisgottems.com.br/)
13:15:31	17443/17443	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Mar%202024%2012:49:08%20GMT	https://www.moveisgottems.com.br/shared/scripts/jssocials.js	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/scripts/jssocials.js	(from https://www.moveisgottems.com.br/)
13:15:32	9340/9340	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Mar%202024%2012:49:06%20GMT	https://www.moveisgottems.com.br/shared/scripts/ellox.js	C:/SiteGottems2/Site2/www.moveisgottems.com.br/shared/scripts/ellox.js	(from https://www.moveisgottems.com.br/)
13:15:32	105536/105536	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Mar%202024%2013:23:32%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-brands-400.woff2	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-brands-400.woff2	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:32	181852/181852	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2001%20Mar%202024%2013:23:33%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-brands-400.ttf	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-brands-400.ttf	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:32	23940/23940	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Mar%202024%2013:23:29%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-regular-400.woff2	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-regular-400.woff2	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:33	60520/60520	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2001%20Mar%202024%2013:23:31%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-regular-400.ttf	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-regular-400.ttf	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:33	154228/154228	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Mar%202024%2013:23:32%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-solid-900.woff2	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-solid-900.woff2	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:33	388460/388460	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2001%20Mar%202024%2013:23:29%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-solid-900.ttf	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-solid-900.ttf	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:33	4960/4960	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Mar%202024%2013:23:31%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-v4compatibility.woff2	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-v4compatibility.woff2	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:34	10556/10556	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2001%20Mar%202024%2013:23:30%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-v4compatibility.ttf	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/fonts/font-awesome/fa-v4compatibility.ttf	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:34	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:34%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/css/owl.video.play.png	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/css/owl.video.play.png	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:34	2383/2383	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2013:22:11%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/images/icon-upload.svg	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/images/icon-upload.svg	(from https://www.moveisgottems.com.br/themes/gotthems/assets/css/style.css)
13:15:34	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:34%20GMT	https://www.moveisgottems.com.br/flash	C:/SiteGottems2/Site2/www.moveisgottems.com.br/flash	(from https://www.moveisgottems.com.br/empresa)
13:15:35	28804/28804	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:11:30%20GMT	https://www.moveisgottems.com.br/storage/images/cache/bannersobrebanner-banner-1708612403-1920-e8e475ef.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/bannersobrebanner-banner-1708612403-1920-e8e475ef.webp	(from https://www.moveisgottems.com.br/empresa)
13:15:35	39072/39072	---M--	200	added ('OK')	image/webp	date:Tue,%2005%20Mar%202024%2014:52:48%20GMT	https://www.moveisgottems.com.br/storage/images/cache/sobresobresobre-sobre-1709650367-800-c915c292.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/sobresobresobre-sobre-1709650367-800-c915c292.webp	(from https://www.moveisgottems.com.br/empresa)
13:15:35	30650/30650	---M--	200	added ('OK')	image/webp	date:Tue,%2005%20Mar%202024%2014:47:32%20GMT	https://www.moveisgottems.com.br/storage/images/cache/sobresobresobre-sobre-1709650051-800-ebf6addc.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/sobresobresobre-sobre-1709650051-800-ebf6addc.webp	(from https://www.moveisgottems.com.br/empresa)
13:15:35	101976/101976	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:11:38%20GMT	https://www.moveisgottems.com.br/storage/images/cache/fotosobrehistoriafoto-foto-1708618495-1920-8c685ff5.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/fotosobrehistoriafoto-foto-1708618495-1920-8c685ff5.webp	(from https://www.moveisgottems.com.br/empresa)
13:15:36	140636/140636	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:11:44%20GMT	https://www.moveisgottems.com.br/storage/images/cache/fotosobrehistoriafoto-foto-1708617993-1920-4fce5a7f.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/fotosobrehistoriafoto-foto-1708617993-1920-4fce5a7f.webp	(from https://www.moveisgottems.com.br/empresa)
13:15:36	4526/4526	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:11:49%20GMT	https://www.moveisgottems.com.br/storage/images/cache/responsabilidadesobreresponsabilidade-responsabilidade-1707336910-294-8e0c9297.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/responsabilidadesobreresponsabilidade-responsabilidade-1707336910-294-8e0c9297.webp	(from https://www.moveisgottems.com.br/empresa)
13:15:36	7355/7355	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Mar%202024%2020:52:36%20GMT	https://www.moveisgottems.com.br/themes/gotthems/assets/js/ellox.js?e=1712333720	C:/SiteGottems2/Site2/www.moveisgottems.com.br/themes/gotthems/assets/js/ellox5c64.js	(from https://www.moveisgottems.com.br/empresa)
13:15:36	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:36%20GMT	https://www.moveisgottems.com.br/flash	C:/SiteGottems2/Site2/www.moveisgottems.com.br/flash	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:37	110386/110386	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:12:02%20GMT	https://www.moveisgottems.com.br/storage/images/cache/bannerinspiracaobanner-banner-1708618984-1920-15961f7f.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/bannerinspiracaobanner-banner-1708618984-1920-15961f7f.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:37	147950/147950	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:26:00%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707230332-1920-d36e175a.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707230332-1920-d36e175a.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:37	126668/126668	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2015:01:53%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707229520-1920-f26a3a09.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707229520-1920-f26a3a09.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:37	164142/164142	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:25:38%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1702490869-1920-45295e67.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1702490869-1920-45295e67.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:38	173792/173792	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2015:14:12%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705932295-1920-e37f99d3.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705932295-1920-e37f99d3.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:38	120394/120394	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:26:12%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707235697-1920-5a9cd29b.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707235697-1920-5a9cd29b.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:38	70402/70402	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:59:05%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705932120-1920-965fa19f.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705932120-1920-965fa19f.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:38	129840/129840	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:52:45%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707229639-1920-32bf0fcb.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707229639-1920-32bf0fcb.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:38	140668/140668	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:13:11%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705946006-1920-2d638fe9.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705946006-1920-2d638fe9.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:40	289440/289440	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:13:21%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705946264-1920-0553cbbf.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1705946264-1920-0553cbbf.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:40	423356/423356	---M--	200	added ('OK')	image/webp	date:Fri,%2001%20Mar%202024%2014:13:34%20GMT	https://www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707229724-1920-533960b7.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/projetoinspiracaoprojeto-projeto-1707229724-1920-533960b7.webp	(from https://www.moveisgottems.com.br/inspiracoes)
13:15:40	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2016:15:40%20GMT	https://www.moveisgottems.com.br/flash	C:/SiteGottems2/Site2/www.moveisgottems.com.br/flash	(from https://www.moveisgottems.com.br/produtos)
13:15:40	57772/57772	---M--	200	added ('OK')	image/webp	date:Tue,%2005%20Mar%202024%2014:54:38%20GMT	https://www.moveisgottems.com.br/storage/images/cache/banner-padraoprodutobannerpadrao-banner-padrao-1709650475-1920-87f6cc4b.webp	C:/SiteGottems2/Site2/www.moveisgottems.com.br/storage/images/cache/banner-padraoprodutobannerpadrao-banner-padrao-1709650475-1920-87f6cc4b.webp	(from https://www.moveisgottems.com.br/produtos)
